open,high,low,close,volume
22415.54,22508.88,22411.8,22484.8,8865.01381
22484.8,22509.99,22452.48,22497.86,5734.12894
22497.87,22557.91,22445.22,22460.54,7212.57315
22460.99,22479.8,22453.98,22474.36,4032.26352
22474.36,22479.85,22443.73,22460.67,4659.12544
22460.09,22461.31,22408.09,22438.52,6458.64388
22438.07,22453.9,22410.24,22419.71,5882.30757
22420.29,22426.65,22395.05,22420.18,6693.99498
22420.53,22426.17,22345.49,22381.17,10907.2766
22381.17,22432.6,22367.3,22372.85,8537.41518
22372.85,22398.11,22321.0,22351.02,9399.6095
22351.02,22410.2,22335.36,22399.07,8470.94616
22399.07,22410.0,22354.1,22363.89,8071.28679
22363.53,22383.58,22200.32,22309.18,21090.97003
22309.18,22489.88,21927.0,22320.9,59648.47568
22321.98,22394.08,22192.84,22238.77,21822.97104
22238.77,22360.0,22224.96,22309.28,15164.53002
22308.25,22331.49,22160.64,22199.96,13467.03162
22198.49,22249.98,22054.92,22124.77,11681.7156
22125.99,22145.29,21996.0,22054.51,19088.27298
22055.64,22116.66,21943.0,22056.26,12708.13147
22055.95,22122.22,21981.64,22105.65,7923.57217
22105.65,22230.51,22075.51,22197.96,8744.93252
22198.56,22287.0,22190.32,22245.86,9321.72502
22245.86,22256.66,22136.84,22173.7,7768.1963
22174.57,22211.3,22158.37,22177.0,5678.44763
22177.0,22191.73,22084.3,22152.52,7387.15207
22152.52,22167.73,22105.18,22141.79,5712.12814
22141.79,22147.73,21840.13,21954.98,19927.47105
21954.31,22051.62,21930.2,22025.63,12447.40555
22025.63,22039.15,21961.17,21971.03,8984.56836
21971.83,22034.16,21944.55,21989.14,10047.60801
21989.14,22030.0,21974.5,22012.75,8151.38201
22012.75,22144.2,22001.0,22111.25,13368.51293
22111.25,22134.85,22055.25,22072.45,9485.70357
22071.98,22107.82,21993.61,22014.17,10928.25251
22014.17,22062.0,21940.0,21989.16,16367.90865
21989.16,22030.52,21922.22,21974.73,19735.20056
21974.73,22229.04,21876.66,22140.8,34124.5517
22139.97,22218.3,22058.3,22140.61,15478.76546
22140.61,22150.0,22022.52,22034.48,10620.41683
22034.48,22063.03,21944.25,22022.75,12174.2621
22021.97,22061.6,21987.26,21997.25,9051.11834
21997.25,22133.75,21969.56,22101.26,11899.29454
22099.95,22113.57,21907.09,22009.75,10598.73461
22010.37,22016.16,21660.0,21802.16,11805.35357
21800.47,21838.12,21580.0,21705.44,20396.41321
21704.37,21765.15,21675.4,21719.42,10551.56996
21720.15,21762.38,21629.43,21702.94,10219.11258
21703.55,21793.65,21700.44,21769.65,7921.66747
21769.14,21806.68,21744.46,21769.66,6739.30785
21770.37,21774.69,21720.11,21740.43,5953.71527
21740.39,21761.33,21728.0,21738.93,5857.40431
21738.93,21746.04,21683.49,21741.8,7890.8559
21741.25,21742.39,21665.67,21688.54,8160.18877
21688.54,21698.38,21602.0,21681.52,15335.28307
21682.31,21700.0,21585.0,21641.58,12338.10576
21641.07,21683.68,21527.0,21648.43,14926.28036
21646.98,21674.11,21620.0,21669.38,9697.99101
21669.38,21674.98,21600.96,21611.34,9381.03199
21611.89,21730.77,21552.84,21703.76,21493.941
21703.76,21834.99,21686.72,21722.89,23399.51181
21722.1,21807.66,21633.95,21648.57,17586.60391
21647.42,21675.22,21416.79,21478.85,28547.08915
21479.31,21524.96,21400.0,21469.46,20661.68843
21470.47,21491.86,20967.0,21012.89,40265.11837
21013.32,21020.64,20766.2,20854.93,37836.59279
20856.3,20867.3,20042.72,20116.66,64418.09962
20119.83,20416.04,20112.18,20213.61,36841.57762
20213.61,20494.96,20213.01,20343.58,14779.28498
20343.58,20379.58,20274.62,20362.22,12856.26386
20362.21,20367.78,20022.0,20120.27,31664.01722
20121.38,20159.5,19776.22,20111.01,51259.99284
20111.87,20141.72,20024.95,20040.44,15373.3643
20040.44,20134.5,19977.48,20052.07,12847.04823
20052.07,20065.0,19833.01,19876.69,21600.53689
19876.15,20046.0,19854.09,19990.1,16038.64182
19990.1,20024.76,19839.62,19873.46,17818.24696
19873.46,20039.19,19776.55,19953.58,28538.44321
19953.58,19977.0,19875.83,19959.12,15178.47787
19958.54,19969.14,19831.4,19853.12,17552.14244
19853.12,19924.04,19549.09,19621.66,38988.67853
19622.77,19802.24,19569.47,19760.78,25258.98821
19761.12,19998.99,19730.16,19934.75,24926.96144
19933.31,20321.19,19884.75,20184.92,43471.46204
20184.9,20191.4,19657.11,19819.8,47271.4509
19819.8,20037.75,19766.0,20004.96,36948.61278
20004.96,20307.73,19928.83,20016.36,36709.182
20015.11,20082.66,19830.74,19930.48,31007.14935
19928.57,20005.21,19824.06,19848.52,20359.44087
19848.5,20071.4,19843.4,20024.32,21587.99302
20022.72,20066.72,19938.07,19969.31,15890.12244
19969.31,20129.1,19850.0,20076.64,16487.9129
20076.64,20167.79,20021.64,20097.23,14562.97988
20097.23,20240.4,20084.21,20150.69,17114.62096
